# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
2344                	9.175523988040e-05	1.735144969710e-04	1.441026758880e-04	1.564580877270e-04
2345                	8.850221366570e-05	1.734845355630e-04	1.443813964340e-04	1.595643077810e-04
2346                	9.175553137680e-05	1.734167267370e-04	1.441028160770e-04	1.564578954050e-04
2347                	8.850408208840e-05	1.733868030010e-04	1.443815923690e-04	1.595629386380e-04
2348                	9.175553872150e-05	1.733190607410e-04	1.441029184350e-04	1.564577352740e-04
2349                	8.850576001130e-05	1.732891751690e-04	1.443817707450e-04	1.595616800710e-04
2350                	9.175555813710e-05	1.732214972910e-04	1.441029423530e-04	1.564576203970e-04
2351                	8.850758452850e-05	1.731916577970e-04	1.443819839670e-04	1.595604399140e-04
2352                	9.175570002210e-05	1.731240535130e-04	1.441029741900e-04	1.564574299890e-04
2353                	8.850945450780e-05	1.730942607640e-04	1.443822177370e-04	1.595591318040e-04
2354                	9.175586760310e-05	1.730267275320e-04	1.441029394920e-04	1.564572823370e-04
2355                	8.851139778080e-05	1.729969812290e-04	1.443824338500e-04	1.595577926200e-04
2356                	9.175602605050e-05	1.729295158740e-04	1.441029442820e-04	1.564571916910e-04
2357                	8.851362986720e-05	1.728998139650e-04	1.443826628190e-04	1.595564584080e-04
2358                	9.175619759620e-05	1.728324170320e-04	1.441029799920e-04	1.564571298930e-04
2359                	8.851585373150e-05	1.728027587080e-04	1.443828844070e-04	1.595551039130e-04
2360                	9.175640903880e-05	1.727354302820e-04	1.441030348920e-04	1.564570545170e-04
2361                	8.851811152380e-05	1.727058155890e-04	1.443830998550e-04	1.595537288610e-04
2362                	9.175668757120e-05	1.726385552970e-04	1.441031059540e-04	1.564569792240e-04
2363                	8.852037819650e-05	1.726089820020e-04	1.443832942690e-04	1.595523471640e-04
2364                	9.175697721580e-05	1.725417912140e-04	1.441031783200e-04	1.564569113000e-04
2365                	8.852263046850e-05	1.725122605670e-04	1.443834822260e-04	1.595509646510e-04
2366                	9.175727170040e-05	1.724451402160e-04	1.441032634410e-04	1.564568603210e-04
2367                	8.852490001300e-05	1.724156514360e-04	1.443836563840e-04	1.595495602230e-04
2368                	9.175753652920e-05	1.723486005670e-04	1.441033585820e-04	1.564568295480e-04
2369                	8.852717490680e-05	1.723191519400e-04	1.443838122070e-04	1.595481354160e-04
2370                	9.175783123450e-05	1.722521703420e-04	1.441034680840e-04	1.564567870060e-04
2371                	8.852946994230e-05	1.722227624300e-04	1.443839761900e-04	1.595467000400e-04
2372                	9.175814174950e-05	1.721558505370e-04	1.441035707370e-04	1.564567183320e-04
2373                	8.853172298990e-05	1.721264816870e-04	1.443841442030e-04	1.595452576130e-04
2374                	9.175843486640e-05	1.720596390960e-04	1.441036957990e-04	1.564566571260e-04
2375                	8.853382694350e-05	1.720303098200e-04	1.443843041490e-04	1.595438055470e-04
2376                	9.175867664820e-05	1.719635381850e-04	1.441038362840e-04	1.564565968400e-04
2377                	8.853582568380e-05	1.719342503320e-04	1.443844669130e-04	1.595423496830e-04
2378                	9.175896727470e-05	1.718675489200e-04	1.441040058010e-04	1.564565647840e-04
2379                	8.853794962850e-05	1.718383009890e-04	1.443846675750e-04	1.595409211240e-04
2380                	9.175932540940e-05	1.717716697900e-04	1.441041928960e-04	1.564565466920e-04
2381                	8.854005804440e-05	1.717424598430e-04	1.443848926000e-04	1.595395187100e-04
2382                	9.175964645450e-05	1.716758969260e-04	1.441044095300e-04	1.564565587110e-04
2383                	8.854219844170e-05	1.716467273650e-04	1.443851467410e-04	1.595381504250e-04
2384                	9.176007615810e-05	1.715802344350e-04	1.441046370070e-04	1.564565870280e-04
2385                	8.854442900150e-05	1.715511028200e-04	1.443853948480e-04	1.595367703370e-04
2386                	9.176050728290e-05	1.714846810970e-04	1.441048643520e-04	1.564565929040e-04
2387                	8.854661022740e-05	1.714555884640e-04	1.443856585380e-04	1.595353483070e-04
2388                	9.176089439330e-05	1.713892368890e-04	1.441050844040e-04	1.564565624020e-04
2389                	8.854877466170e-05	1.713601821330e-04	1.443858780420e-04	1.595338881450e-04
2390                	9.176122767100e-05	1.712938998110e-04	1.441052775500e-04	1.564565018760e-04
2391                	8.855091352620e-05	1.712648837670e-04	1.443860853590e-04	1.595324024730e-04
2392                	9.176151554520e-05	1.711986717840e-04	1.441054501370e-04	1.564564343390e-04
2393                	8.855302818770e-05	1.711696942610e-04	1.443862816710e-04	1.595308966580e-04
2394                	9.176180324520e-05	1.711035536720e-04	1.441056051290e-04	1.564563518830e-04
2395                	8.855517530120e-05	1.710746157920e-04	1.443864650020e-04	1.595293842660e-04
2396                	9.176206432910e-05	1.710085456720e-04	1.441057596290e-04	1.564562795430e-04
2397                	8.855731860240e-05	1.709796467460e-04	1.443866637900e-04	1.595278950750e-04
2398                	9.176227234650e-05	1.709136463790e-04	1.441059499970e-04	1.564562789670e-04
2399                	8.855949328460e-05	1.708847871810e-04	1.443868443790e-04	1.595263661080e-04
2400                	9.176253177080e-05	1.708188568210e-04	1.441060587040e-04	1.564561744610e-04
2401                	8.856170678070e-05	1.707900368770e-04	1.443869599700e-04	1.595247941310e-04
2402                	9.176276099480e-05	1.707241747210e-04	1.441062470940e-04	1.564561373850e-04
2403                	8.856388870560e-05	1.706953922850e-04	1.443870789960e-04	1.595232413350e-04
2404                	9.176297861980e-05	1.706296006550e-04	1.441064651290e-04	1.564561010840e-04
2405                	8.856609679730e-05	1.706008577220e-04	1.443871463200e-04	1.595216439380e-04
2406                	9.176320567530e-05	1.705351361710e-04	1.441066011110e-04	1.564559864780e-04
2407                	8.856830676880e-05	1.705064312680e-04	1.443871821500e-04	1.595200261280e-04
2408                	9.176342729420e-05	1.704407798460e-04	1.441066983710e-04	1.564558548770e-04
2409                	8.857053147800e-05	1.704121125550e-04	1.443872092940e-04	1.595184177660e-04
2410                	9.176363612370e-05	1.703465299240e-04	1.441067317290e-04	1.564557119760e-04
2411                	8.857271361920e-05	1.703179002950e-04	1.443872373840e-04	1.595168121990e-04
2412                	9.176381070310e-05	1.702523872470e-04	1.441067633110e-04	1.564555723150e-04
2413                	8.857487063850e-05	1.702237957460e-04	1.443872521320e-04	1.595152026450e-04
2414                	9.176396505910e-05	1.701583513340e-04	1.441067729080e-04	1.564554326960e-04
2415                	8.857703273760e-05	1.701297979350e-04	1.443872504690e-04	1.595135742390e-04
2416                	9.176424796860e-05	1.700644224340e-04	1.441067839780e-04	1.564552843830e-04
2417                	8.857918497710e-05	1.700359067810e-04	1.443872313410e-04	1.595119756110e-04
2418                	9.176469925570e-05	1.699706038060e-04	1.441067660710e-04	1.564551626250e-04
2419                	8.858132984740e-05	1.699421217190e-04	1.443872046170e-04	1.595103887200e-04
2420                	9.176516438520e-05	1.698768936000e-04	1.441067354000e-04	1.564550698650e-04
2421                	8.858326104950e-05	1.698484446190e-04	1.443872211150e-04	1.595087770830e-04
2422                	9.176518644050e-05	1.697832900120e-04	1.441067050060e-04	1.564549278730e-04
2423                	8.858504341270e-05	1.697548708040e-04	1.443871637830e-04	1.595070264630e-04
2424                	9.176510548670e-05	1.696897909300e-04	1.441066755810e-04	1.564547246550e-04
2425                	8.858670490870e-05	1.696614042140e-04	1.443869935990e-04	1.595051293690e-04
2426                	9.176467725040e-05	1.695963985530e-04	1.441065608250e-04	1.564544715380e-04
2427                	8.858820667740e-05	1.695680444830e-04	1.443867903120e-04	1.595032028440e-04
2428                	9.176440422070e-05	1.695031125370e-04	1.441063498400e-04	1.564541685770e-04
2429                	8.859009416870e-05	1.694747938050e-04	1.443865303200e-04	1.595012635840e-04
2430                	9.176430299950e-05	1.694099339710e-04	1.441060978000e-04	1.564538828630e-04
2431                	8.859211449560e-05	1.693816509990e-04	1.443862843100e-04	1.594993790500e-04
2432                	9.176449072800e-05	1.693168615780e-04	1.441058576990e-04	1.564536471500e-04
2433                	8.859437852750e-05	1.692886155000e-04	1.443861118310e-04	1.594975643690e-04
2434                	9.176474370660e-05	1.692238954410e-04	1.441056677510e-04	1.564534787730e-04
2435                	8.859657445510e-05	1.691956841570e-04	1.443859789350e-04	1.594958099380e-04
2436                	9.176495501640e-05	1.691310314730e-04	1.441055077100e-04	1.564533597340e-04
2437                	8.859874488690e-05	1.691028568490e-04	1.443858766340e-04	1.594941059420e-04
2438                	9.176515142940e-05	1.690382719170e-04	1.441053489980e-04	1.564532504160e-04
2439                	8.860097737740e-05	1.690101340950e-04	1.443857808150e-04	1.594924069310e-04
2440                	9.176534561420e-05	1.689456162460e-04	1.441052055880e-04	1.564531435180e-04
2441                	8.860320964570e-05	1.689175147260e-04	1.443857075210e-04	1.594907108470e-04
2442                	9.176549489290e-05	1.688530624020e-04	1.441050922870e-04	1.564530462260e-04
2443                	8.860541607220e-05	1.688249957460e-04	1.443856745200e-04	1.594890294130e-04
2444                	9.176557149170e-05	1.687606090290e-04	1.441050199010e-04	1.564529446980e-04
2445                	8.860760254960e-05	1.687325786650e-04	1.443856670760e-04	1.594873369570e-04
2446                	9.176561503860e-05	1.686682576140e-04	1.441049712660e-04	1.564528791880e-04
2447                	8.860977791270e-05	1.686402637350e-04	1.443856749560e-04	1.594856494090e-04
2448                	9.176567936820e-05	1.685760086120e-04	1.441049462190e-04	1.564528707010e-04
2449                	8.861195487370e-05	1.685480497290e-04	1.443857148940e-04	1.594839714240e-04
2450                	9.176575522550e-05	1.684838599610e-04	1.441049296260e-04	1.564528777940e-04
2451                	8.861416364600e-05	1.684559390200e-04	1.443857503470e-04	1.594823024970e-04
2452                	9.176582839120e-05	1.683918133270e-04	1.441049301470e-04	1.564528921710e-04
2453                	8.861641106820e-05	1.683639280830e-04	1.443857929740e-04	1.594806257960e-04
2454                	9.176589929800e-05	1.682998671210e-04	1.441049169760e-04	1.564529048140e-04
2455                	8.861865514620e-05	1.682720189190e-04	1.443858230830e-04	1.594789409310e-04
2456                	9.176596484250e-05	1.682080238930e-04	1.441049046340e-04	1.564529138820e-04
2457                	8.862086767650e-05	1.681802173100e-04	1.443858688870e-04	1.594772635930e-04
2458                	9.176607252310e-05	1.681162863490e-04	1.441048962820e-04	1.564529384170e-04
2459                	8.862296892360e-05	1.680885256720e-04	1.443859977750e-04	1.594756622630e-04
2460                	9.176630484770e-05	1.680246552070e-04	1.441049747620e-04	1.564530886210e-04
2461                	8.862509233990e-05	1.679969386290e-04	1.443861519090e-04	1.594740793730e-04
2462                	9.176654226170e-05	1.679331262350e-04	1.441050085210e-04	1.564532084380e-04
2463                	8.862716014470e-05	1.679054522090e-04	1.443862627210e-04	1.594724618490e-04
2464                	9.176667459550e-05	1.678416992670e-04	1.441049833840e-04	1.564532972860e-04
2465                	8.862923479700e-05	1.678140678500e-04	1.443863538520e-04	1.594708647830e-04
2466                	9.176671149240e-05	1.677503754230e-04	1.441049995090e-04	1.564534285290e-04
2467                	8.863131490900e-05	1.677227852800e-04	1.443864315440e-04	1.594692619220e-04
2468                	9.176671564280e-05	1.676591529590e-04	1.441050258390e-04	1.564535715470e-04
2469                	8.863335260400e-05	1.676316051590e-04	1.443864972980e-04	1.594676504040e-04
