# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
4661                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4662                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4663                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4664                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445530e-03
4665                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445540e-03
4666                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445540e-03
4667                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445540e-03
4668                	2.832950764390e-03	8.815275458760e-03	8.822419206950e-03	9.480794445540e-03
4669                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4670                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4671                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4672                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4673                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4674                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4675                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4676                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4677                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4678                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4679                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4680                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4681                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4682                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4683                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4684                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4685                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4686                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4687                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4688                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4689                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4690                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4691                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4692                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4693                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4694                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4695                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4696                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4697                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4698                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4699                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4700                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4701                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4702                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4703                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4704                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4705                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4706                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4707                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4708                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4709                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4710                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4711                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4712                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4713                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4714                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4715                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4716                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4717                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4718                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4719                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4720                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4721                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4722                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4723                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4724                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4725                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4726                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4727                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4728                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4729                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4730                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4731                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4732                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
4733                	2.832950764390e-03	8.815275458760e-03	8.822419206940e-03	9.480794445540e-03
